标题	评分	评论人数	总结	详情	链接
肖申克的救赎	9.7	2682818人评价	导演:弗兰克·德拉邦特FrankDarabont   主演:蒂姆·罗宾斯TimRobbins/...1994 / 美国 / 犯罪剧情	希望让人自由。	https://movie.douban.com/subject/1292052/
霸王别姬	9.6	1990102人评价	导演:陈凯歌KaigeChen   主演:张国荣LeslieCheung/张丰毅FengyiZha...1993 / 中国大陆中国香港 / 剧情爱情同性	风华绝代。	https://movie.douban.com/subject/1291546/
阿甘正传	9.5	2014772人评价	导演:罗伯特·泽米吉斯RobertZemeckis   主演:汤姆·汉克斯TomHanks/...1994 / 美国 / 剧情爱情	一部美国近现代史。	https://movie.douban.com/subject/1292720/
泰坦尼克号	9.4	1973886人评价	导演:詹姆斯·卡梅隆JamesCameron   主演:莱昂纳多·迪卡普里奥Leonardo...1997 / 美国墨西哥澳大利亚加拿大 / 剧情爱情灾难	失去的才是永恒的。 	https://movie.douban.com/subject/1292722/
这个杀手不太冷	9.4	2158724人评价	导演:吕克·贝松LucBesson   主演:让·雷诺JeanReno/娜塔莉·波特曼...1994 / 法国美国 / 剧情动作犯罪	怪蜀黍和小萝莉不得不说的故事。	https://movie.douban.com/subject/1295644/
美丽人生	9.6	1237031人评价	导演:罗伯托·贝尼尼RobertoBenigni   主演:罗伯托·贝尼尼RobertoBeni...1997 / 意大利 / 剧情喜剧爱情战争	最美的谎言。	https://movie.douban.com/subject/1292063/
千与千寻	9.4	2090956人评价	导演:宫崎骏HayaoMiyazaki   主演:柊瑠美RumiHîragi/入野自由Miy...2001 / 日本 / 剧情动画奇幻	最好的宫崎骏，最好的久石让。 	https://movie.douban.com/subject/1291561/
辛德勒的名单	9.6	1032052人评价	导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:连姆·尼森LiamNeeson...1993 / 美国 / 剧情历史战争	拯救一个人，就是拯救整个世界。	https://movie.douban.com/subject/1295124/
盗梦空间	9.4	1927922人评价	导演:克里斯托弗·诺兰ChristopherNolan   主演:莱昂纳多·迪卡普里奥Le...2010 / 美国英国 / 剧情科幻悬疑冒险	诺兰给了我们一场无法盗取的梦。	https://movie.douban.com/subject/3541415/
星际穿越	9.4	1629774人评价	导演:克里斯托弗·诺兰ChristopherNolan   主演:马修·麦康纳MatthewMc...2014 / 美国英国加拿大 / 剧情科幻冒险	爱是一种力量，让我们超越时空感知它的存在。	https://movie.douban.com/subject/1889243/
忠犬八公的故事	9.4	1315637人评价	导演:莱塞·霍尔斯道姆LasseHallström   主演:理查·基尔RichardGer...2009 / 美国英国 / 剧情	永远都不能忘记你所爱的人。	https://movie.douban.com/subject/3011091/
楚门的世界	9.3	1549236人评价	导演:彼得·威尔PeterWeir   主演:金·凯瑞JimCarrey/劳拉·琳妮Lau...1998 / 美国 / 剧情科幻	如果再也不能见到你，祝你早安，午安，晚安。	https://movie.douban.com/subject/1292064/
海上钢琴师	9.3	1570095人评价	导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:蒂姆·罗斯TimRoth/...1998 / 意大利 / 剧情音乐	每个人都要走一条自己坚定了的路，就算是粉身碎骨。 	https://movie.douban.com/subject/1292001/
三傻大闹宝莱坞	9.2	1746439人评价	导演:拉库马·希拉尼RajkumarHirani   主演:阿米尔·汗AamirKhan/卡...2009 / 印度 / 剧情喜剧爱情歌舞	英俊版憨豆，高情商版谢耳朵。	https://movie.douban.com/subject/3793023/
机器人总动员	9.3	1234535人评价	导演:安德鲁·斯坦顿AndrewStanton   主演:本·贝尔特BenBurtt/艾丽...2008 / 美国 / 科幻动画冒险	小瓦力，大人生。	https://movie.douban.com/subject/2131459/
放牛班的春天	9.3	1218082人评价	导演:克里斯托夫·巴拉蒂ChristopheBarratier   主演:让-巴蒂斯特·莫尼...2004 / 法国瑞士德国 / 剧情喜剧音乐	天籁一般的童声，是最接近上帝的存在。 	https://movie.douban.com/subject/1291549/
无间道	9.3	1248257人评价	导演:刘伟强/麦兆辉   主演:刘德华/梁朝伟/黄秋生2002 / 中国香港 / 剧情犯罪惊悚	香港电影史上永不过时的杰作。	https://movie.douban.com/subject/1307914/
疯狂动物城	9.2	1771692人评价	导演:拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore   主演:金妮弗·...2016 / 美国 / 喜剧动画冒险	迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。	https://movie.douban.com/subject/25662329/
大话西游之大圣娶亲	9.2	1432304人评价	导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...1995 / 中国香港中国大陆 / 喜剧爱情奇幻古装	一生所爱。	https://movie.douban.com/subject/1292213/
熔炉	9.3	871844人评价	导演:黄东赫Dong-hyukHwang   主演:孔侑YooGong/郑有美Yu-miJung/...2011 / 韩国 / 剧情	我们一路奋战不是为了改变世界，而是为了不让世界改变我们。	https://movie.douban.com/subject/5912992/
控方证人	9.6	484654人评价	导演:比利·怀尔德BillyWilder   主演:泰隆·鲍华TyronePower/玛琳·...1957 / 美国 / 剧情犯罪悬疑	比利·怀德满分作品。	https://movie.douban.com/subject/1296141/
教父	9.3	892688人评价	导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:马龙·白兰度M...1972 / 美国 / 剧情犯罪	千万不要记恨你的对手，这样会让你失去理智。	https://movie.douban.com/subject/1291841/
当幸福来敲门	9.2	1421990人评价	导演:加布里尔·穆奇诺GabrieleMuccino   主演:威尔·史密斯WillSmith...2006 / 美国 / 剧情传记家庭	平民励志片。 	https://movie.douban.com/subject/1849031/
触不可及	9.3	1007323人评价	导演:奥利维·那卡什OlivierNakache/艾力克·托兰达EricToledano   主...2011 / 法国 / 剧情喜剧	满满温情的高雅喜剧。	https://movie.douban.com/subject/6786002/
怦然心动	9.1	1708759人评价	导演:罗伯·莱纳RobReiner   主演:玛德琳·卡罗尔MadelineCarroll/卡...2010 / 美国 / 剧情喜剧爱情	真正的幸福是来自内心深处。	https://movie.douban.com/subject/3319755/
龙猫	9.2	1181545人评价	导演:宫崎骏HayaoMiyazaki   主演:日高法子NorikoHidaka/坂本千夏Ch...1988 / 日本 / 动画奇幻冒险	人人心中都有个龙猫，童年就永远不会消失。	https://movie.douban.com/subject/1291560/
末代皇帝	9.3	802213人评价	导演:贝纳尔多·贝托鲁奇BernardoBertolucci   主演:尊龙JohnLone/陈...1987 / 英国意大利中国大陆法国 / 剧情传记历史	“不要跟我比惨，我比你更惨”再适合这部电影不过了。	https://movie.douban.com/subject/1293172/
寻梦环游记	9.1	1530633人评价	导演:李·昂克里奇LeeUnkrich/阿德里安·莫利纳AdrianMolina   主演:...2017 / 美国 / 喜剧动画奇幻音乐	死亡不是真的逝去，遗忘才是永恒的消亡。	https://movie.douban.com/subject/20495023/
蝙蝠侠：黑暗骑士	9.2	985900人评价	导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...2008 / 美国英国 / 剧情动作科幻犯罪惊悚	无尽的黑暗。	https://movie.douban.com/subject/1851857/
活着	9.3	772671人评价	导演:张艺谋YimouZhang   主演:葛优YouGe/巩俐LiGong/姜武WuJiang1994 / 中国大陆中国香港 / 剧情历史家庭	张艺谋最好的电影。	https://movie.douban.com/subject/1292365/
哈利·波特与魔法石	9.2	1079080人评价	导演:ChrisColumbus   主演:DanielRadcliffe/EmmaWatson/RupertGrint2001 / 美国英国 / 奇幻冒险	童话世界的开端。	https://movie.douban.com/subject/1295038/
指环王3：王者无敌	9.3	745822人评价	导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...2003 / 美国新西兰 / 剧情动作奇幻冒险	史诗的终章。	https://movie.douban.com/subject/1291552/
乱世佳人	9.3	643009人评价	导演:维克多·弗莱明VictorFleming/乔治·库克GeorgeCukor   主演:费...1939 / 美国 / 剧情历史爱情战争	Tomorrow is another day.	https://movie.douban.com/subject/1300267/
素媛	9.3	634407人评价	导演:李濬益Jun-ikLee   主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...2013 / 韩国 / 剧情	受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。	https://movie.douban.com/subject/21937452/
飞屋环游记	9.1	1236383人评价	导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson   主演:爱德...2009 / 美国 / 剧情喜剧动画冒险	最后那些最无聊的事情，才是最值得怀念的。 	https://movie.douban.com/subject/2129039/
我不是药神	9.0	1958782人评价	导演:文牧野MuyeWen   主演:徐峥ZhengXu/王传君ChuanjunWang/周...2018 / 中国大陆 / 剧情喜剧	对我们国家而言，这样的电影多一部是一部。	https://movie.douban.com/subject/26752088/
摔跤吧！爸爸	9.0	1469056人评价	导演:涅提·蒂瓦里NiteshTiwari   主演:阿米尔·汗AamirKhan/法缇玛...2016 / 印度 / 剧情传记运动家庭	你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。	https://movie.douban.com/subject/26387939/
何以为家	9.1	967540人评价	导演:娜丁·拉巴基NadineLabaki   主演:扎因·拉费阿Zainal-Rafeea/...2018 / 黎巴嫩美国法国塞浦路斯卡塔尔英国 / 剧情	凝视卑弱生命，用电影改变命运。	https://movie.douban.com/subject/30170448/
十二怒汉	9.4	446865人评价	导演:SidneyLumet   主演:亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...1957 / 美国 / 剧情	1957年的理想主义。 	https://movie.douban.com/subject/1293182/
哈尔的移动城堡	9.1	940581人评价	导演:宫崎骏HayaoMiyazaki   主演:倍赏千惠子ChiekoBaishô/木村拓...2004 / 日本 / 动画奇幻冒险	带着心爱的人在天空飞翔。	https://movie.douban.com/subject/1308807/
少年派的奇幻漂流	9.1	1269346人评价	导演:李安AngLee   主演:苏拉·沙玛SurajSharma/伊尔凡·可汗Irrfan...2012 / 美国中国台湾英国加拿大 / 剧情奇幻冒险	瑰丽壮观、无人能及的冒险之旅。	https://movie.douban.com/subject/1929463/
鬼子来了	9.3	579148人评价	导演:姜文WenJiang   主演:姜文WenJiang/香川照之TeruyukiKagawa/...2000 / 中国大陆 / 剧情喜剧	对敌人的仁慈，就是对自己残忍。	https://movie.douban.com/subject/1291858/
